trial=143/1000 pct=14.30% elapsed_s=525.7 eta_s=3150.4 best=0.7633504152297974
trial=144/1000 pct=14.40% elapsed_s=530.5 eta_s=3153.7 best=0.7633504152297974
trial=145/1000 pct=14.50% elapsed_s=534.5 eta_s=3151.6 best=0.7633504152297974
trial=146/1000 pct=14.60% elapsed_s=536.4 eta_s=3137.8 best=0.7633504152297974
trial=147/1000 pct=14.70% elapsed_s=541.5 eta_s=3142.0 best=0.7633504152297974
trial=148/1000 pct=14.80% elapsed_s=543.5 eta_s=3128.6 best=0.7633504152297974
trial=149/1000 pct=14.90% elapsed_s=544.3 eta_s=3108.5 best=0.7633504152297974
trial=150/1000 pct=15.00% elapsed_s=549.9 eta_s=3116.2 best=0.7633504152297974
trial=151/1000 pct=15.10% elapsed_s=551.7 eta_s=3101.8 best=0.7633504152297974
trial=152/1000 pct=15.20% elapsed_s=552.7 eta_s=3083.6 best=0.7633504152297974
trial=153/1000 pct=15.30% elapsed_s=558.2 eta_s=3090.2 best=0.7633504152297974
trial=154/1000 pct=15.40% elapsed_s=560.4 eta_s=3078.3 best=0.7633504152297974
trial=155/1000 pct=15.50% elapsed_s=563.6 eta_s=3072.5 best=0.7633504152297974
trial=156/1000 pct=15.60% elapsed_s=570.3 eta_s=3085.5 best=0.7633504152297974
trial=157/1000 pct=15.70% elapsed_s=571.7 eta_s=3069.8 best=0.7633504152297974
trial=158/1000 pct=15.80% elapsed_s=574.5 eta_s=3061.7 best=0.7633504152297974
trial=159/1000 pct=15.90% elapsed_s=578.1 eta_s=3057.7 best=0.7633504152297974
trial=160/1000 pct=16.00% elapsed_s=580.0 eta_s=3045.0 best=0.7633504152297974
trial=161/1000 pct=16.10% elapsed_s=581.7 eta_s=3031.3 best=0.7633504152297974
trial=162/1000 pct=16.20% elapsed_s=586.4 eta_s=3033.2 best=0.7633504152297974
trial=163/1000 pct=16.30% elapsed_s=587.0 eta_s=3014.2 best=0.7633504152297974
trial=164/1000 pct=16.40% elapsed_s=590.8 eta_s=3011.9 best=0.7633504152297974
trial=165/1000 pct=16.50% elapsed_s=592.9 eta_s=3000.7 best=0.7633504152297974
trial=166/1000 pct=16.60% elapsed_s=601.4 eta_s=3021.3 best=0.7633504152297974
trial=167/1000 pct=16.70% elapsed_s=601.6 eta_s=3000.7 best=0.7633504152297974
trial=168/1000 pct=16.80% elapsed_s=602.0 eta_s=2981.6 best=0.7633504152297974
trial=169/1000 pct=16.90% elapsed_s=609.5 eta_s=2996.9 best=0.7633504152297974
trial=170/1000 pct=17.00% elapsed_s=610.6 eta_s=2981.2 best=0.7633504152297974
trial=171/1000 pct=17.10% elapsed_s=616.8 eta_s=2990.1 best=0.7633504152297974
trial=172/1000 pct=17.20% elapsed_s=617.8 eta_s=2974.0 best=0.7633504152297974
trial=173/1000 pct=17.30% elapsed_s=619.0 eta_s=2959.0 best=0.7633504152297974
trial=174/1000 pct=17.40% elapsed_s=627.2 eta_s=2977.6 best=0.7633504152297974
trial=175/1000 pct=17.50% elapsed_s=629.7 eta_s=2968.6 best=0.7633504152297974
trial=176/1000 pct=17.60% elapsed_s=630.3 eta_s=2951.0 best=0.7633504152297974
trial=177/1000 pct=17.70% elapsed_s=636.5 eta_s=2959.8 best=0.7633504152297974
trial=178/1000 pct=17.80% elapsed_s=640.1 eta_s=2956.0 best=0.7633504152297974
trial=179/1000 pct=17.90% elapsed_s=644.5 eta_s=2956.1 best=0.7633504152297974
trial=180/1000 pct=18.00% elapsed_s=648.7 eta_s=2955.2 best=0.7633504152297974
trial=181/1000 pct=18.10% elapsed_s=650.1 eta_s=2941.7 best=0.7633504152297974
trial=182/1000 pct=18.20% elapsed_s=651.3 eta_s=2927.3 best=0.7633504152297974
trial=183/1000 pct=18.30% elapsed_s=661.1 eta_s=2951.5 best=0.7633504152297974
trial=184/1000 pct=18.40% elapsed_s=662.9 eta_s=2939.8 best=0.7596634745597839
trial=185/1000 pct=18.50% elapsed_s=664.1 eta_s=2925.6 best=0.7436809718608857
trial=186/1000 pct=18.60% elapsed_s=669.9 eta_s=2931.7 best=0.7436809718608857
trial=187/1000 pct=18.70% elapsed_s=673.6 eta_s=2928.5 best=0.7436809718608857
trial=188/1000 pct=18.80% elapsed_s=674.1 eta_s=2911.5 best=0.7436809718608857
trial=189/1000 pct=18.90% elapsed_s=681.7 eta_s=2925.2 best=0.7436809718608857
trial=190/1000 pct=19.00% elapsed_s=683.1 eta_s=2912.0 best=0.7436809718608857
trial=191/1000 pct=19.10% elapsed_s=684.1 eta_s=2897.7 best=0.7436809718608857
trial=192/1000 pct=19.20% elapsed_s=690.4 eta_s=2905.5 best=0.7436809718608857
trial=193/1000 pct=19.30% elapsed_s=695.5 eta_s=2907.9 best=0.7433375418186188
trial=194/1000 pct=19.40% elapsed_s=700.4 eta_s=2909.8 best=0.7374950468540191
trial=195/1000 pct=19.50% elapsed_s=704.3 eta_s=2907.5 best=0.7374950468540191
trial=196/1000 pct=19.60% elapsed_s=709.6 eta_s=2910.7 best=0.7374950468540191
trial=197/1000 pct=19.70% elapsed_s=716.9 eta_s=2922.0 best=0.7374950468540191
trial=198/1000 pct=19.80% elapsed_s=717.6 eta_s=2906.6 best=0.7374950468540191
trial=199/1000 pct=19.90% elapsed_s=718.4 eta_s=2891.5 best=0.7374950468540191
trial=200/1000 pct=20.00% elapsed_s=724.8 eta_s=2899.1 best=0.7374950468540191
trial=201/1000 pct=20.10% elapsed_s=731.8 eta_s=2909.0 best=0.7374950468540191
trial=202/1000 pct=20.20% elapsed_s=732.3 eta_s=2892.8 best=0.7374950468540191
trial=203/1000 pct=20.30% elapsed_s=738.0 eta_s=2897.5 best=0.7374950468540191
trial=204/1000 pct=20.40% elapsed_s=740.9 eta_s=2891.1 best=0.7374950468540191
trial=205/1000 pct=20.50% elapsed_s=742.6 eta_s=2879.8 best=0.7374950468540191
trial=206/1000 pct=20.60% elapsed_s=748.7 eta_s=2885.9 best=0.7374950468540191
trial=207/1000 pct=20.70% elapsed_s=750.5 eta_s=2875.2 best=0.7374950468540191
trial=208/1000 pct=20.80% elapsed_s=758.4 eta_s=2887.7 best=0.7374950468540191
trial=209/1000 pct=20.90% elapsed_s=759.9 eta_s=2875.9 best=0.7374950468540191
trial=210/1000 pct=21.00% elapsed_s=764.8 eta_s=2877.1 best=0.7374950468540191
trial=211/1000 pct=21.10% elapsed_s=766.7 eta_s=2867.1 best=0.7374950468540191
trial=212/1000 pct=21.20% elapsed_s=768.7 eta_s=2857.3 best=0.7374950468540191
trial=213/1000 pct=21.30% elapsed_s=772.8 eta_s=2855.4 best=0.7374950468540191
trial=214/1000 pct=21.40% elapsed_s=775.2 eta_s=2847.1 best=0.7374950468540191
trial=215/1000 pct=21.50% elapsed_s=777.3 eta_s=2838.0 best=0.7374950468540191
trial=216/1000 pct=21.60% elapsed_s=784.2 eta_s=2846.3 best=0.7374950468540191
trial=217/1000 pct=21.70% elapsed_s=787.7 eta_s=2842.3 best=0.7374950468540191
trial=218/1000 pct=21.80% elapsed_s=791.8 eta_s=2840.2 best=0.7374950468540191
trial=219/1000 pct=21.90% elapsed_s=794.9 eta_s=2834.9 best=0.7374950468540191
trial=220/1000 pct=22.00% elapsed_s=802.3 eta_s=2844.3 best=0.7374950468540191
trial=221/1000 pct=22.10% elapsed_s=803.9 eta_s=2833.6 best=0.7374950468540191
trial=222/1000 pct=22.20% elapsed_s=813.2 eta_s=2849.9 best=0.7374950468540191
trial=223/1000 pct=22.30% elapsed_s=813.6 eta_s=2835.0 best=0.7374950468540191
trial=224/1000 pct=22.40% elapsed_s=814.2 eta_s=2820.6 best=0.736177635192871
trial=225/1000 pct=22.50% elapsed_s=829.4 eta_s=2856.9 best=0.736177635192871
trial=226/1000 pct=22.60% elapsed_s=831.1 eta_s=2846.4 best=0.736177635192871
trial=227/1000 pct=22.70% elapsed_s=832.9 eta_s=2836.3 best=0.736177635192871
trial=228/1000 pct=22.80% elapsed_s=837.9 eta_s=2837.1 best=0.736177635192871
trial=229/1000 pct=22.90% elapsed_s=847.4 eta_s=2853.2 best=0.7272973775863647
trial=230/1000 pct=23.00% elapsed_s=849.8 eta_s=2845.1 best=0.7272973775863647
trial=231/1000 pct=23.10% elapsed_s=859.0 eta_s=2859.7 best=0.7272973775863647
trial=232/1000 pct=23.20% elapsed_s=860.9 eta_s=2849.9 best=0.7272973775863647
trial=233/1000 pct=23.30% elapsed_s=862.2 eta_s=2838.4 best=0.7272973775863647
trial=234/1000 pct=23.40% elapsed_s=869.9 eta_s=2847.5 best=0.7272973775863647
trial=235/1000 pct=23.50% elapsed_s=872.8 eta_s=2841.1 best=0.7272973775863647
trial=236/1000 pct=23.60% elapsed_s=876.7 eta_s=2838.2 best=0.7272973775863647
trial=237/1000 pct=23.70% elapsed_s=880.6 eta_s=2835.0 best=0.7272973775863647
trial=238/1000 pct=23.80% elapsed_s=886.8 eta_s=2839.3 best=0.7272973775863647
trial=239/1000 pct=23.90% elapsed_s=890.6 eta_s=2835.8 best=0.7272973775863647
trial=240/1000 pct=24.00% elapsed_s=891.9 eta_s=2824.4 best=0.7272973775863647
trial=241/1000 pct=24.10% elapsed_s=898.0 eta_s=2828.0 best=0.7272973775863647
trial=242/1000 pct=24.20% elapsed_s=899.1 eta_s=2816.1 best=0.7272973775863647
trial=243/1000 pct=24.30% elapsed_s=903.3 eta_s=2814.1 best=0.7272973775863647
trial=244/1000 pct=24.40% elapsed_s=909.4 eta_s=2817.6 best=0.7272973775863647
trial=245/1000 pct=24.50% elapsed_s=909.9 eta_s=2804.0 best=0.7272973775863647
trial=246/1000 pct=24.60% elapsed_s=915.2 eta_s=2805.1 best=0.7272973775863647
trial=247/1000 pct=24.70% elapsed_s=921.7 eta_s=2809.9 best=0.7272973775863647
trial=248/1000 pct=24.80% elapsed_s=922.0 eta_s=2795.8 best=0.7272973775863647
trial=249/1000 pct=24.90% elapsed_s=928.2 eta_s=2799.5 best=0.7272973775863647
trial=250/1000 pct=25.00% elapsed_s=933.3 eta_s=2799.9 best=0.7272973775863647
trial=251/1000 pct=25.10% elapsed_s=933.7 eta_s=2786.2 best=0.7272973775863647
trial=252/1000 pct=25.20% elapsed_s=939.4 eta_s=2788.3 best=0.7272973775863647
trial=253/1000 pct=25.30% elapsed_s=942.7 eta_s=2783.4 best=0.7272973775863647
trial=254/1000 pct=25.40% elapsed_s=944.2 eta_s=2773.1 best=0.7272973775863647
trial=255/1000 pct=25.50% elapsed_s=952.7 eta_s=2783.3 best=0.7272973775863647
trial=256/1000 pct=25.60% elapsed_s=953.7 eta_s=2771.8 best=0.7272973775863647
trial=257/1000 pct=25.70% elapsed_s=959.5 eta_s=2774.1 best=0.7272973775863647
trial=258/1000 pct=25.80% elapsed_s=961.4 eta_s=2764.8 best=0.7272973775863647
trial=259/1000 pct=25.90% elapsed_s=966.5 eta_s=2765.3 best=0.7272973775863647
trial=260/1000 pct=26.00% elapsed_s=973.2 eta_s=2770.0 best=0.7272973775863647
trial=261/1000 pct=26.10% elapsed_s=973.9 eta_s=2757.4 best=0.7272973775863647
trial=262/1000 pct=26.20% elapsed_s=984.6 eta_s=2773.4 best=0.7272973775863647
trial=263/1000 pct=26.30% elapsed_s=985.8 eta_s=2762.5 best=0.7272973775863647
trial=264/1000 pct=26.40% elapsed_s=990.1 eta_s=2760.2 best=0.7272973775863647
trial=265/1000 pct=26.50% elapsed_s=997.5 eta_s=2766.7 best=0.7272973775863647
trial=266/1000 pct=26.60% elapsed_s=998.2 eta_s=2754.3 best=0.7272973775863647
trial=267/1000 pct=26.70% elapsed_s=1003.4 eta_s=2754.8 best=0.7272973775863647
trial=268/1000 pct=26.80% elapsed_s=1011.1 eta_s=2761.8 best=0.7272973775863647
trial=269/1000 pct=26.90% elapsed_s=1011.9 eta_s=2749.7 best=0.7272973775863647
trial=270/1000 pct=27.00% elapsed_s=1014.1 eta_s=2742.0 best=0.7272973775863647
trial=271/1000 pct=27.10% elapsed_s=1022.4 eta_s=2750.3 best=0.7272973775863647
trial=272/1000 pct=27.20% elapsed_s=1023.2 eta_s=2738.6 best=0.7272973775863647
trial=273/1000 pct=27.30% elapsed_s=1024.6 eta_s=2728.6 best=0.7272973775863647
trial=274/1000 pct=27.40% elapsed_s=1033.5 eta_s=2738.4 best=0.7272973775863647
trial=275/1000 pct=27.50% elapsed_s=1034.7 eta_s=2727.9 best=0.7272973775863647
trial=276/1000 pct=27.60% elapsed_s=1035.9 eta_s=2717.3 best=0.7272973775863647
trial=277/1000 pct=27.70% elapsed_s=1044.8 eta_s=2727.0 best=0.7272973775863647
trial=278/1000 pct=27.80% elapsed_s=1046.8 eta_s=2718.7 best=0.7272973775863647
trial=279/1000 pct=27.90% elapsed_s=1047.4 eta_s=2706.8 best=0.7272973775863647
trial=280/1000 pct=28.00% elapsed_s=1054.1 eta_s=2710.5 best=0.7272973775863647
trial=281/1000 pct=28.10% elapsed_s=1062.1 eta_s=2717.7 best=0.7272973775863647
