A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(2n)_MeV
49,Cl,17,5823.0,447.0,42649.0,721.0,-17646.0,640.0,30351.0,400.0,,,15023.0,400.0,32,1.8823529411764706,-3,4,0,,3051.0,15,5.823
27,Al,13,24423.5258,0.0803,22416.9921,1.2009,-10091.9259,0.0473,-16537.8313,9.0008,-17625.0542,3.502,-18127.1784,0.1176,14,1.0769230769230769,5,6,0,,13058.0422,1,24.4235258
131,Sm,62,24093.0,640.0,2483.0,448.0,3205.0,500.0,,,9027.0,401.0,-24839.0,671.0,69,1.1129032258064515,12,-13,0,,10652.0,7,24.093
187,Hg,80,18077.4943,18.7417,6008.3073,28.8582,5229.7718,13.9554,-13131.5539,13.8318,2456.9672,25.2657,-16306.8872,24.4147,107,1.3375,-2,-19,0,,7650.7682,27,18.077494299999998
132,Sm,62,23582.0,500.0,3121.0,301.0,2966.0,361.0,,,5339.0,301.0,-23747.0,500.0,70,1.1290322580645162,12,-12,0,,12931.0,8,23.582
201,Os,76,10712.0,361.0,,,-2394.0,500.0,8901.0,304.0,,,-1341.0,358.0,125,1.644736842105263,-6,-1,0,,4361.0,49,10.712
49,Ti,22,19769.0365,0.0396,20797.2889,2.2196,-10176.6978,0.3732,-3231.6603,2.2008,-11628.1156,0.0771,-12157.3253,0.9694,27,1.2272727272727273,2,-1,0,,8142.3786,5,19.7690365
242,Pu,94,11551.0792,0.682,12576.5633,2.7209,4984.2282,0.986,-86.8228,0.7717,-8769.0,196.0,-6288.7773,0.7009,148,1.574468085106383,12,22,0,,6309.5572,54,11.5510792
12,Li,3,185.6871,32.5916,,,,,35640.1788,30.0354,,,20761.0898,30.0072,9,3.0,1,1,0,,-210.0,6,0.1856871
271,Ds,110,15025.0,102.0,3119.0,163.0,10869.9743,17.6255,,,3551.0,266.0,,,161,1.4636363636363636,-16,35,0,,6800.0,51,15.025
10,Be,4,8476.8212,0.0883,33580.1385,0.1199,-7409.5245,0.0966,-3091.1864,0.1072,-35617.3109,46.8165,-7880.3173,0.9009,6,1.5,2,-2,0,,6812.2824,2,8.4768212
