A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess,S(n)_MeV
162,Nd,60,8428.0,402.0,,,-4895.0,565.0,15369.0,400.0,,,3005.0,400.0,102,1.7,10,20,0,,4851.0,42,4.851
167,Eu,63,9184.0,400.0,23678.0,640.0,-3235.0,565.0,12113.0,400.0,,,2530.0,400.0,104,1.6507936507936507,13,22,0,,5092.0,41,5.092
187,Hg,80,18077.4943,18.7417,6008.3073,28.8582,5229.7718,13.9554,-13131.5539,13.8318,2456.9672,25.2657,-16306.8872,24.4147,107,1.3375,-2,-19,0,,7650.7682,27,7.650768200000001
169,Lu,71,16698.882,37.3808,10117.3528,3.2572,2422.5813,3.4325,-7792.092,28.106,-4059.1196,3.4408,-10793.2877,28.106,98,1.380281690140845,-11,16,0,,9081.0137,27,9.0810137
211,Th,90,18661.0,134.0,2559.7862,86.2611,7937.4924,63.3304,,,6144.5865,86.5589,,,121,1.3444444444444446,8,-5,0,,8254.4428,31,8.254442800000001
53,Ti,22,13291.1042,2.9279,25127.0656,2.9344,-8006.3463,2.8931,8406.1845,2.89,-19904.1326,2.9645,-3509.7194,2.892,31,1.4090909090909092,2,3,0,,5475.0535,9,5.4750535
159,Lu,71,19411.4273,39.5512,5577.2723,46.8981,4492.3962,38.9481,-15269.4522,42.4992,1705.62,45.3271,-15677.5276,41.5276,88,1.2394366197183098,-11,6,0,,10567.7267,17,10.5677267
114,Ba,56,,,457.0311,103.0096,3592.284,18.5403,,,9009.2186,102.9036,,,58,1.0357142857142858,6,8,0,,14267.0,2,14.267
221,U,92,14918.5935,73.3579,4520.7262,91.6025,9889.2999,71.3499,-11410.0,308.0,2541.4872,73.4212,-14026.3444,78.4032,129,1.4021739130434783,10,3,0,,6565.0,37,6.565
115,Tc,43,9128.0,196.0,30165.0,445.0,-9261.0,358.0,18433.0,196.0,-28126.0,537.0,6353.0,196.0,72,1.6744186046511629,-7,-10,0,,5268.0,29,5.268
36,Al,13,7194.6331,149.5196,40307.6722,617.7797,-15114.6831,154.0778,26201.429,150.0788,-39170.0,687.0,12270.5464,153.7447,23,1.7692307692307692,5,3,0,,1897.2041,10,1.8972041
59,Ni,28,21215.5083,0.4987,15552.7584,0.2544,-6100.3272,0.3262,-13941.1546,0.6743,-6290.5331,0.3072,-17560.3001,0.4453,31,1.1071428571428572,0,3,1,,8999.2797,3,8.999279699999999
76,Ni,28,9632.0,361.0,36108.0,583.0,-15365.0,583.0,20113.0,300.0,-34779.0,671.0,4209.0,300.0,48,1.7142857142857142,0,-2,1,,6021.0,20,6.021
233,Pu,94,14399.3774,58.4762,8332.0582,54.2362,6416.2999,53.8516,-7241.5039,97.5152,-1846.5808,54.198,-11439.0,305.0,139,1.4787234042553192,12,13,0,,6380.3971,45,6.3803971
163,Nd,60,7992.0,640.0,,,-5164.0,707.0,16520.0,500.0,,,3889.0,583.0,103,1.7166666666666666,10,21,0,,3141.0,43,3.141
65,V,23,6513.0,605.0,39758.0,860.0,-15035.0,781.0,28857.0,500.0,,,13458.0,583.0,42,1.826086956521739,3,-8,0,,3862.0,19,3.862
115,Mo,42,8042.0,500.0,32788.0,500.0,-10494.0,721.0,21556.0,400.0,,,5979.0,589.0,73,1.7380952380952381,-8,-9,0,,2941.0,31,2.941
120,Cd,48,13398.3524,20.3447,23146.9497,4.4836,-6551.2549,8.0493,7140.3754,3.8379,-19839.0593,9.0504,-4330.025,8.2047,72,1.5,-2,-10,0,,8051.7448,24,8.0517448
170,Au,79,22376.0,447.0,-385.0,208.0,7177.3107,15.3045,,,11101.0,202.0,,,91,1.1518987341772151,-3,9,0,,9986.0,12,9.986
193,Ir,77,13970.1143,0.2274,14763.8388,10.2829,1017.8763,8.2476,-1131.4754,8.7628,-10236.4476,70.806,-6319.0973,2.2826,116,1.5064935064935066,-5,-10,0,,7771.9919,39,7.7719919
251,Md,101,14356.8391,165.5094,6786.0,36.0,7963.4399,4.4721,-8863.0,201.0,-1548.0,102.0,-10671.0,201.0,150,1.4851485148514851,19,24,0,,7503.7096,49,7.5037096000000005
88,As,33,7630.0,200.0,31268.0,447.0,-8781.0,202.0,20266.0,200.0,-28869.0,539.0,7905.0,200.0,55,1.6666666666666667,5,5,0,,2903.0,22,2.903
222,Rn,86,10382.6727,1.9299,13469.4475,17.8048,5590.3894,0.3055,2051.7519,4.7093,-10690.7709,19.6577,-4976.6121,5.061,136,1.5813953488372092,4,10,0,,6170.7153,50,6.1707152999999995
113,In,49,17117.7097,3.4191,15729.6185,1.4584,-3072.6086,1.2925,-4950.1579,17.1928,-10072.3655,2.4292,-8783.3923,0.2848,64,1.3061224489795917,-1,14,0,,9448.3147,15,9.448314700000001
208,Tl,81,10639.4633,1.7761,17138.0,300.0,1215.0,200.0,2120.0304,2.6093,-13399.0,300.0,-2369.4702,1.6698,127,1.5679012345679013,-1,1,0,,3787.0025,46,3.7870025000000003
265,Sg,106,13544.0,168.0,6540.0,207.0,9051.0,123.0,-8106.0,141.0,-570.0,386.0,-11235.0,225.0,159,1.5,-20,33,0,,6060.0,53,6.06
238,Bk,97,15468.0,442.0,6402.0,282.0,7330.0,200.0,,,358.0,263.0,-11793.0,274.0,141,1.4536082474226804,15,15,0,,7065.0,44,7.065
214,Bi,83,9225.4731,11.2786,14228.0,201.0,5621.2999,3.0,2178.3717,11.7795,-10273.562,29.2465,-2618.5791,11.5056,131,1.5783132530120483,1,5,0,,4040.4272,48,4.0404272
206,Pb,82,14818.3273,0.1239,13673.3006,1.1784,1134.8875,1.0497,-5596.838,4.1263,-8786.7588,3.6976,-10791.255,4.8197,124,1.5121951219512195,0,-2,1,,8086.6623,42,8.0866623
73,Rb,37,29864.0,402.0,4087.1268,41.1504,-2177.0492,58.5527,,,5761.1682,40.8072,,,36,0.972972972972973,9,8,0,,15753.0,-1,15.753
232,Ac,89,10826.5993,20.514,14910.2876,14.5896,3345.286,14.6758,3207.8743,15.1165,-10215.1229,15.1605,-2732.7056,13.0976,143,1.6067415730337078,7,17,0,,4679.748,54,4.679748
76,Sr,38,29563.0,105.0,6493.7436,34.524,-2731.9792,35.384,,,2787.0151,35.4052,-30499.0,302.0,38,1.0,10,10,0,,15700.2618,0,15.7002618
153,La,57,8892.0,529.0,26358.0,583.0,-5185.0,500.0,15509.0,300.0,-24219.0,583.0,4849.0,361.0,96,1.6842105263157894,7,14,0,,4841.0,39,4.841
216,Po,84,9890.328,2.0869,12612.5876,1.9577,6906.3495,0.505,1529.0234,5.9616,-9848.8801,52.7167,-5032.3988,6.7496,132,1.5714285714285714,2,6,0,,5747.2116,48,5.7472116
59,Sc,21,5592.5339,307.6371,39537.0,650.0,-13725.0,559.0,26781.0666,284.9548,-40049.0,743.0,12016.7999,309.7318,38,1.8095238095238095,1,10,0,,3421.2995,17,3.4212995
19,B,5,88.7073,563.6171,,,,,43913.9955,525.6187,,,26779.6669,526.2185,14,2.8,3,6,0,,93.7073,9,0.09370730000000001
115,Ag,47,14098.398,24.7117,20793.5851,19.6058,-5103.6316,19.506,4553.7698,18.2677,-16561.2826,73.8553,-3038.9708,18.2689,68,1.446808510638298,-3,-14,0,,8123.0941,21,8.1230941
217,Tl,81,7513.0,500.0,,,,,9930.0,400.0,,,3079.0,447.0,136,1.6790123456790123,-1,10,0,,4282.0,55,4.282
88,Tc,43,26243.0,300.0,7114.1829,6.8582,-2901.3749,4.1181,-24810.0,400.0,4915.2204,7.9417,-24012.0,400.0,45,1.0465116279069768,-7,-5,0,,12051.568,2,12.051568
247,Cm,96,11614.0548,3.7663,12223.0096,13.9903,5353.6281,3.3621,-576.287,14.8214,-7150.638,15.3473,-6505.1245,60.1187,151,1.5729166666666667,14,25,0,,5155.1245,55,5.1551245
245,Bk,97,13018.4895,4.6187,9939.1716,1.8681,6454.5246,1.4045,-4501.0,165.0,-5354.3303,1.7326,-7735.6383,2.8707,148,1.5257731958762886,15,22,0,,6971.3675,51,6.9713675
79,Ni,28,6953.0,640.0,,,-15885.0,781.0,25272.0,500.0,,,8558.0,500.0,51,1.8214285714285714,0,1,1,,1352.0,23,1.352
44,P,15,6125.0,411.0,45458.0,640.0,-20135.0,500.0,31589.0,409.0,-44449.0,721.0,15234.0,400.0,29,1.9333333333333333,-5,1,0,,2002.0,14,2.002
159,W,74,21887.0,500.0,1157.0,361.0,6450.8877,3.5522,,,9380.0,300.0,,,85,1.1486486486486487,-8,3,0,,9813.0,11,9.813
156,Lu,71,20176.0,208.0,3850.3495,56.0077,5595.813,3.2058,-17699.0,305.0,5637.4004,55.0236,-17461.0,305.0,85,1.1971830985915493,-11,3,0,,9225.8116,14,9.2258116
90,Rh,45,30916.0,447.0,4541.0,200.0,-2488.0,361.0,,,8472.0,200.0,,,45,1.0,-5,-5,0,,14054.0,0,14.054
82,Br,35,17752.2878,1.3855,19862.0176,3.464,-7106.6229,9.8269,-1310.8639,3.1617,-12254.3337,2.8166,-7873.7956,0.486,47,1.3428571428571427,7,-3,0,,7592.9439,12,7.5929439
88,Sr,38,19541.1651,0.0057,19233.895,0.0043,-7907.1994,0.0044,-4292.7549,5.4033,-14501.0689,0.2463,-12974.5598,1.1278,50,1.3157894736842106,10,0,1,,11112.8704,12,11.1128704
30,Cl,17,39738.0,501.0,2755.5381,23.9036,-8723.0,197.0,,,14338.4256,23.8787,-41366.0,439.0,13,0.7647058823529411,-3,5,0,,17419.0,-4,17.419
29,F,9,1125.9238,538.9373,,,-18258.0,727.0,37470.1964,525.4139,,,20779.1341,540.2768,20,2.2222222222222223,1,0,1,,1324.9238,11,1.3249238
128,Cs,55,17723.7258,11.6707,12599.2183,6.5709,-992.1338,5.8471,-7306.3337,54.7126,-4237.5269,6.4819,-11185.1357,12.5651,73,1.3272727272727274,5,-9,0,,7763.0638,18,7.7630638
54,Ca,20,7036.9518,48.4423,38359.0,602.0,-14355.0,503.0,20583.2252,50.9605,-39240.0,700.0,5537.6493,51.5698,34,1.7,0,6,1,,3844.1978,14,3.8441978
115,Sn,50,17848.3525,1.5748,15568.5015,0.2444,-3206.5145,0.3575,-7971.0783,27.9448,-7307.8829,0.2763,-13608.5475,19.7724,65,1.3,0,15,1,,7545.4285,15,7.5454285
102,Rh,45,17334.8222,19.2202,15340.307,6.5467,-2776.0181,7.2441,-4536.6145,10.3849,-7727.6945,24.8377,-9422.4894,7.881,57,1.2666666666666666,-5,7,0,,7442.2061,12,7.4422061
288,Cn,112,11662.0,989.0,,,9046.0,860.0,-3987.0,1035.0,,,-8596.0,995.0,176,1.5714285714285714,-14,50,0,,6511.0,64,6.511
114,Mo,42,8343.0,361.0,31839.0,761.0,-9885.0,583.0,20541.0,300.0,-30629.0,424.0,5060.0,300.0,72,1.7142857142857142,-8,-10,0,,5102.0,30,5.102
43,Cr,24,38523.0,447.0,851.0,202.0,-6895.0,283.0,,,15845.0,200.0,,,19,0.7916666666666666,4,-1,0,,17101.0,-5,17.101
144,La,57,10968.3457,14.383,18913.0456,14.7409,-224.8374,15.3159,5900.9284,13.217,-14463.1122,14.9904,-1314.5995,13.1651,87,1.5263157894736843,7,5,0,,4749.5103,30,4.7495103
233,Cm,96,16119.0,311.0,5593.1795,84.0266,7473.4999,53.8516,,,1643.4538,82.8185,,,137,1.4270833333333333,14,11,0,,7111.0,41,7.111
157,Nd,60,10352.9566,9.3996,23292.0,300.0,-4009.0,200.0,10183.537,4.9215,-18963.0,300.0,-398.5873,2.4451,97,1.6166666666666667,10,15,0,,4363.3048,37,4.3633048
148,Ce,58,10915.1919,18.4488,20110.0978,11.3337,-1056.2104,13.2758,7009.6415,11.3271,-17423.3597,22.7,-3025.6492,19.403,90,1.5517241379310345,8,8,0,,6455.8405,32,6.4558405
42,Sc,21,27740.2864,2.8322,13163.4482,0.1637,-5745.1591,0.2486,-24501.0,196.0,-3850.4252,0.1539,-24494.7824,27.9452,21,1.0,1,1,0,,11549.961,0,11.549961
83,Ga,31,7771.8031,4.1751,31925.0,300.0,-9274.0056,105.0119,20412.2029,3.8225,-30816.0,400.0,8086.6285,3.4352,52,1.6774193548387097,3,2,0,,4397.7212,21,4.3977212
108,Ag,47,16807.0282,3.5598,15822.0773,5.8012,-3072.3634,3.3159,-3486.9633,8.965,-8032.0514,12.2853,-8687.7841,2.5711,61,1.297872340425532,-3,11,0,,7271.41,14,7.2714099999999995
200,Bi,83,17139.3587,35.714,7419.7629,23.9221,4701.1089,25.7289,-11382.6799,33.3747,399.8522,36.0035,-13203.0628,23.3413,117,1.4096385542168675,1,-9,0,,7644.2753,34,7.6442753
178,Hg,80,20673.3432,15.4516,1959.3693,16.6533,6577.346,2.975,-19888.7168,25.4505,5766.1198,18.4489,-21046.5608,24.1402,98,1.225,-2,16,0,,11610.841,18,11.610841
164,Hf,72,18792.5665,18.1703,6575.135,21.8659,3919.9548,16.7401,-13582.8011,18.5364,186.5511,21.8672,-17355.0404,41.2154,92,1.2777777777777777,-10,10,0,,10620.3539,20,10.6203539
169,Gd,64,9257.0,400.0,23138.0,640.0,-2805.0,565.0,11706.0,500.0,-19539.0,500.0,820.0,400.0,105,1.640625,14,-21,0,,3812.0,41,3.812
201,Hg,80,14259.099,0.5922,14851.7717,2.2457,332.3295,0.8386,-2391.4965,13.7631,-8352.3224,20.1195,-8686.6202,5.7653,121,1.5125,-2,-5,0,,6230.5799,41,6.2305798999999995
126,Pd,46,9533.0,500.0,32778.0,721.0,-12435.0,640.0,20466.0,400.0,-30710.0,500.0,4658.0,589.0,80,1.7391304347826086,-4,-2,0,,5902.0,34,5.902
79,Ga,31,12698.639,2.7064,28263.4695,1.7104,-10503.0519,1.4052,11087.7256,5.4597,-25047.8523,13.3863,1242.3848,3.7362,48,1.5483870967741935,3,-2,0,,6915.5881,17,6.9155881
80,Zr,40,30053.0,500.0,6164.0,300.0,-2937.0,302.0,,,3431.0,300.0,-31181.0,583.0,40,1.0,-10,-10,0,,16061.0,0,16.061
14,F,9,,,-48.3925,41.1309,-9260.5406,402.1079,,,19329.9505,41.1196,,,5,0.5555555555555556,1,3,0,,18137.0,-4,18.137
151,Lu,71,,,938.0,361.0,3249.0,300.0,,,8902.0,358.0,,,80,1.1267605633802817,-11,-2,0,,13600.0,9,13.6
226,Rn,86,9840.5409,14.3558,15741.0,196.0,3836.0102,41.4018,5079.618,10.6528,-13122.0,300.0,-3144.7263,15.9052,140,1.627906976744186,4,14,0,,5858.2675,54,5.8582675
187,Ta,73,11643.815,57.6559,17513.0,305.0,395.6483,97.6782,4320.9985,55.8945,-13864.0,404.0,-2458.2658,55.9028,114,1.5616438356164384,-9,-12,0,,6359.2658,41,6.3592658
139,Sb,51,6132.0,403.0,28798.0,565.0,-5365.0,500.0,18421.0,400.0,,,7575.0,400.0,88,1.7254901960784315,1,6,0,,3472.0,37,3.472
166,Dy,66,12759.4579,0.4036,17468.7251,1.2828,-728.6664,3.9779,2339.6741,0.8389,-13347.6595,1.5319,-5757.7713,0.8501,100,1.5151515151515151,16,18,0,,7043.5,34,7.0435
254,Md,101,13157.0,135.0,8420.0,112.0,7802.0,141.0,-6193.0,135.0,-2847.0,100.0,-8977.0,100.0,153,1.5148514851485149,19,27,0,,5792.0,52,5.792
94,Br,35,7559.0,200.0,31848.0,539.0,-9084.0,447.0,20913.0,200.0,,,8415.0,200.0,59,1.6857142857142857,7,9,0,,2831.0,24,2.831
222,Pa,91,14356.6724,87.837,6257.3365,86.8079,8788.5999,64.6607,-9210.2801,94.5956,244.3414,103.6137,-10526.9531,112.7119,131,1.4395604395604396,9,5,0,,6381.8941,40,6.3818941
120,Cs,55,21621.908,16.1874,7495.5343,22.1326,1107.0893,75.6967,-16319.0,300.0,2600.1118,23.8863,-17369.8705,200.5171,65,1.1818181818181819,5,15,0,,9654.9054,10,9.6549054
78,Br,35,19305.7258,9.9854,15738.7265,3.6863,-5017.0201,3.9598,-6516.7407,4.8264,-6824.8048,3.957,-11354.0346,4.0791,43,1.2285714285714286,7,-7,0,,8288.6683,8,8.2886683
233,Np,93,13817.7917,72.2009,10053.7491,50.9546,5626.7668,50.8749,-5336.0,125.0,-5286.9889,51.5263,-8483.7019,53.6984,140,1.5053763440860215,11,14,0,,7482.0,47,7.482
40,Cl,17,13902.3386,32.0657,27514.1958,79.3481,-9731.6896,34.6434,5977.6784,32.0656,-22072.1539,117.1197,-2386.9411,32.453,23,1.3529411764705883,-3,3,0,,5828.9185,6,5.8289184999999994
231,Am,95,15913.0,318.0,5969.0,317.0,7406.0,310.0,,,-116.0,305.0,,,136,1.431578947368421,13,10,0,,8533.0,41,8.533
52,Ca,20,10819.6776,1.7197,35614.0,500.0,-14336.2605,16.7803,15211.4261,2.8274,-35066.0,400.0,912.7632,2.6029,32,1.6,0,4,1,,6005.28,12,6.00528
161,Dy,66,15030.91,1.3894,14071.5789,0.9935,343.4857,0.9912,-2854.1956,8.7469,-7402.4053,1.1031,-9744.3869,15.0002,95,1.4393939393939394,16,13,0,,6454.3869,29,6.4543869
75,Ni,28,10275.0,200.0,34829.0,539.0,-14736.0,447.0,18319.0,200.0,-30870.0,539.0,3695.0,200.0,47,1.6785714285714286,0,-3,1,,3611.0,19,3.611
91,Zr,40,19160.2544,2.7811,16264.5077,0.132,-5440.4314,0.0947,-5686.7579,6.2387,-9233.6182,1.4519,-13305.3793,3.3183,51,1.275,-10,1,0,,7194.3628,11,7.1943627999999995
172,Ho,67,11389.0,202.0,19352.0,358.0,-1127.0,196.0,5890.0,196.0,-15003.0,445.0,-1837.0,196.0,105,1.5671641791044777,-15,-21,0,,5037.0,38,5.037
94,Rb,37,9932.9778,6.4446,26907.9209,7.0076,-6987.401,3.9205,13788.6814,6.6947,-22961.5272,430.8208,3451.7343,7.8215,57,1.5405405405405406,9,7,0,,4014.2091,20,4.0142091
252,Cf,98,11278.3616,2.6849,11532.9193,10.0001,6216.9469,0.0406,-782.0002,5.6836,-7902.3418,22.728,-6548.2548,5.7525,154,1.5714285714285714,16,28,0,,6171.6888,56,6.1716888
176,Ir,77,19238.6219,13.8308,4786.7637,29.091,5260.0002,35.5908,-15360.9557,34.1554,4117.4181,29.091,-16244.5563,20.2939,99,1.2857142857142858,-5,17,0,,8558.7298,22,8.558729799999998
43,V,23,34369.0,205.0,3851.9397,42.8488,-6168.5473,49.1123,-35286.0,402.0,6915.6743,42.849,-33047.0,303.0,20,0.8695652173913043,3,0,1,,18368.0,-3,18.368
120,Ru,44,8863.0,447.0,31928.0,640.0,-10935.0,640.0,20559.0,400.0,-30429.0,500.0,5031.0,400.0,76,1.7272727272727273,-6,-6,0,,5712.0,32,5.712
140,La,57,13941.2874,0.7357,16002.9734,9.1785,-398.1202,1.9689,374.1676,6.147,-10899.942,3.1919,-5425.6361,1.999,83,1.456140350877193,7,1,0,,5160.9966,26,5.160996600000001
100,In,49,26414.0,304.0,5689.6636,32.9831,-2091.4166,90.1116,,,5245.3656,6.6521,-24273.0,582.0,51,1.0408163265306123,-1,1,0,,10873.0,2,10.873
45,P,15,5223.0,583.0,46888.0,781.0,-21055.0,640.0,34223.0,518.0,,,17093.0,500.0,30,2.0,-5,2,0,,3221.0,15,3.221
27,F,9,2343.325,154.1059,45427.0,517.0,-14011.8669,437.4086,30651.2685,120.2555,,,16581.0463,121.6023,18,2.0,1,-2,0,,1612.4952,9,1.6124952000000001
202,At,85,17749.8488,36.8832,4802.475,35.7377,6353.8287,1.3377,-13696.6442,28.2531,3544.9284,30.1681,-14559.0118,29.3987,117,1.3764705882352941,3,-9,0,,7876.983,32,7.876983
102,Nb,41,12649.6552,8.3599,23554.9659,11.4557,-6434.4331,8.3052,8274.6565,9.5036,-18532.4494,7.5103,-849.6313,2.5295,61,1.4878048780487805,-9,11,0,,5478.095,20,5.478095000000001
84,As,33,11890.7769,4.8901,27500.7848,3.987,-9054.8095,4.2859,11929.5262,25.9244,-23885.4106,4.1028,1415.6569,4.3898,51,1.5454545454545454,5,1,0,,4255.5547,18,4.255554699999999
92,Nb,41,19934.3957,3.7665,14534.3202,1.819,-4579.1774,2.331,-7527.5873,3.5789,-7390.9404,2.5621,-12315.7743,6.4881,51,1.2439024390243902,-9,1,0,,7886.5808,10,7.8865808
214,Pb,82,8776.7253,2.0017,17781.0,300.0,2692.0,200.0,4286.9537,2.3188,-15672.0,300.0,-3022.6661,5.2644,132,1.6097560975609757,0,6,1,,5050.739,50,5.050738999999999
168,W,74,19148.0955,16.2893,5611.8834,30.9307,4500.51,11.4561,-14897.9355,16.549,1285.8601,30.9307,-18131.0,42.0,94,1.2702702702702702,-8,12,0,,10871.0363,20,10.8710363
70,Cu,29,13551.9738,1.9177,25911.7322,4.0075,-8992.7554,14.0142,5933.7695,1.6162,-19879.9041,85.7043,-2629.7924,1.3422,41,1.4137931034482758,1,-9,0,,5311.4777,12,5.3114777
95,Kr,36,8165.5541,18.7989,29877.0,400.0,-8003.7065,433.5452,18958.364,19.5148,-26645.0,501.0,4332.5528,18.74,59,1.6388888888888888,8,9,0,,2882.4586,23,2.8824586
202,Fr,87,19174.6767,31.1147,2488.5106,25.1977,7385.3686,3.5132,,,6602.0083,10.1676,-16906.597,21.1784,115,1.3218390804597702,5,-11,0,,8558.3531,28,8.5583531
219,At,85,10141.2131,5.6528,12911.8836,17.9919,6341.8333,4.8314,1779.0822,7.4018,-10108.9882,27.2065,-2892.7103,3.9123,134,1.576470588235294,3,8,0,,5775.5152,49,5.7755152
203,Ir,77,10673.0,447.0,,,-2065.0,565.0,8773.0,400.0,,,251.0,400.0,126,1.6363636363636365,-5,0,1,,5801.0,49,5.801
233,Am,95,15268.0,321.0,6917.0,125.0,7059.0,53.0,-9486.0,259.0,-1363.0,152.0,-11119.0,231.0,138,1.4526315789473685,13,12,0,,8206.0,43,8.206
149,Eu,63,15039.3418,4.4325,11977.2749,3.8451,2401.2735,4.5706,-4952.6773,5.0338,-6864.4112,6.7368,-8243.2158,3.8764,86,1.3650793650793651,13,4,0,,8215.1528,23,8.2151528
256,Cf,98,10443.0,315.0,,,5560.0,100.0,1556.0,314.0,,,-5120.0,315.0,158,1.6122448979591837,16,32,0,,5840.0,60,5.84
108,In,49,19654.3147,14.9718,11755.371,9.1523,-1428.2741,9.6154,-11674.4873,10.2408,-3002.0997,8.9634,-13678.9075,10.142,59,1.2040816326530612,-1,9,0,,8624.4794,10,8.6244794
156,Nd,60,10765.1637,1.6585,22561.0,200.0,-3647.0,200.0,9158.6054,8.6213,-19711.0,300.0,-1333.4422,4.8956,96,1.6,10,14,0,,5989.6518,36,5.9896518
9,Be,4,20563.1828,0.104,29302.6187,7.5599,-2307.6989,20.0001,-17562.5203,2.138,-27550.203,0.117,-19644.4361,1.0028,5,1.25,2,3,0,,1664.5388,1,1.6645388
255,Cf,98,10635.0,200.0,,,5736.0,201.0,1009.0,200.0,,,-5256.0,200.0,157,1.6020408163265305,16,31,0,,4603.0,59,4.603
237,Th,90,10205.2927,20.514,15753.0,300.0,3196.1195,18.0212,4564.9641,15.881,,,-3450.1758,21.1184,147,1.6333333333333333,8,21,0,,4371.4235,57,4.3714235
288,Fl,114,12832.0,940.0,6111.0,1035.0,10076.4873,11.933,,,-1742.0,1035.0,-10903.0,882.0,174,1.5263157894736843,-12,48,0,,7083.0,60,7.083
199,Hg,80,15148.4717,3.2153,13704.2339,0.6715,822.8961,0.6612,-4314.3319,6.8414,-6931.0196,2.1287,-10088.6316,7.5634,119,1.4875,-2,-7,0,,6663.0691,39,6.6630690999999995
86,Ge,32,7394.1277,437.8137,32148.0,593.0,-9510.8824,437.813,21103.2485,437.8095,-31589.0,665.0,5717.9072,437.813,54,1.6875,4,4,0,,4347.8181,22,4.3478181000000005
292,Ts,117,,,3749.0,893.0,11530.0,400.0,,,2152.0,993.0,,,175,1.4957264957264957,-9,49,0,,6104.0,58,6.104
90,Zr,40,21286.3096,5.4038,15428.8606,0.1179,-6674.3634,0.1179,-8600.033,3.463,-9852.4919,0.1495,-16218.1107,23.6299,50,1.25,-10,0,1,,11965.8916,10,11.9658916
218,Po,84,9568.3203,1.9556,13731.0,200.0,6114.7544,0.0917,3139.2382,2.9209,-11193.0,300.0,-4109.2646,5.1835,134,1.5952380952380953,2,8,0,,5598.1188,50,5.5981188
284,Nh,113,13280.0,667.0,5729.0,794.0,10280.0027,38.1184,,,-78.0,863.0,,,171,1.5132743362831858,-13,45,0,,6044.0,58,6.044
48,Mn,25,33021.5322,86.8876,6798.6892,6.6999,-7913.4808,9.8818,-31026.0,500.0,5421.4546,6.6995,-30238.0,500.0,23,0.92,-3,3,0,,14801.5859,-2,14.8015859
198,Fr,87,,,1087.0691,43.3961,7869.272,20.4132,,,8643.9819,32.137,,,111,1.2758620689655173,5,-15,0,,8747.5878,24,8.7475878
218,At,85,10299.096,11.9681,12351.7117,16.0397,6876.0822,2.5858,1040.7782,12.1457,-7918.7155,21.1083,-3629.666,12.1395,133,1.5647058823529412,3,7,0,,4365.698,48,4.365698
190,Hg,80,17314.9099,17.2821,8127.5976,16.7656,4068.9065,26.9424,-10954.0181,20.2088,-2190.1908,18.8357,-14825.8376,17.9736,110,1.375,-2,-16,0,,9815.5649,30,9.8155649
173,Hg,80,22143.0,366.0,-228.0,216.0,7378.0245,4.459,,,11157.0,201.0,,,93,1.1625,-2,11,0,,9671.0,13,9.671
181,W,74,15081.3341,14.5119,12348.8507,0.3525,2221.8846,0.3995,-4683.9769,25.3797,-5743.4398,0.3198,-10467.8993,21.4409,107,1.445945945945946,-8,-19,0,,6669.02,33,6.669020000000001
90,Sr,38,14171.9522,1.4488,20837.5915,2.9836,-5110.1848,1.4488,2821.6024,1.4535,-16704.1214,2.5863,-6311.0607,1.4096,52,1.368421052631579,10,2,0,,7813.2364,14,7.8132364
225,U,92,14815.9132,59.8619,6591.343,12.6161,8007.1594,5.8969,-8928.0,300.0,87.4494,13.7227,-12731.5646,30.5827,133,1.4456521739130435,10,7,0,,6442.0074,41,6.4420074000000005
274,Ds,110,13028.0,576.0,4385.0,641.0,11660.0,300.0,,,141.0,540.0,-11759.0,558.0,164,1.490909090909091,-16,38,0,,7159.0,54,7.159
116,Cs,55,23499.0,132.0,3982.0,102.0,2596.0,101.0,-21993.0,337.0,7006.0,104.0,-21194.0,224.0,61,1.1090909090909091,5,11,0,,10414.0,6,10.414
152,Er,68,18811.5316,19.3263,5768.5423,9.8052,4934.2625,1.6182,-14229.8321,149.9686,963.1987,9.3817,-17799.923,21.2897,84,1.2352941176470589,-14,2,0,,10305.2462,16,10.3052462
90,Rb,37,12899.2044,6.4542,23227.5477,7.1894,-6158.2274,7.1488,7131.3395,6.454,-18380.2725,7.2309,-1227.8644,6.4529,53,1.4324324324324325,9,3,0,,5724.4921,16,5.7244921
63,Ti,22,5633.0,583.0,39448.0,944.0,-14095.0,781.0,30318.0,505.0,,,11282.0,566.0,41,1.8636363636363635,2,-9,0,,1732.0,19,1.732
148,Xe,54,6837.0,301.0,,,-4854.0,424.0,18895.0,300.0,,,5199.0,300.0,94,1.7407407407407407,4,12,0,,4321.0,40,4.321
210,At,85,15644.8343,11.7791,7679.8904,7.8707,5631.1855,0.9824,-8628.591,15.4639,-1002.4815,7.6485,-11102.368,12.5809,125,1.4705882352941178,3,-1,0,,7159.6442,40,7.1596442
135,Nd,60,20023.8757,50.3494,8373.3386,25.1659,1069.9125,37.9718,-13356.3976,155.8066,1330.3075,27.955,-17521.0294,46.0751,75,1.25,10,-7,0,,8638.4951,15,8.6384951
184,Lu,71,10673.0,283.0,19388.0,539.0,-555.0,447.0,6539.0,202.0,,,-1088.0,203.0,113,1.591549295774648,-11,-13,0,,4656.0,42,4.656
