number,value,user_attrs_cv_mae_mean,user_attrs_cv_rmse_std,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample
18,1.0511332869529724,0.8409254550933838,0.10959923814880657,0.7670599266571008,2.0051117171949286,0.2841880412699975,9,7.551890411080386,531,0.0010568043469885208,1.7516096148177678,0.7661453560199899
19,1.1814087152481079,1.0134182214736938,0.08817992898139017,0.8138639052141031,6.60296661326998,0.13595370500791204,9,7.858538039641269,1006,0.04984594440757211,2.08956771502097,0.5002214917562484
20,1.1705275177955627,1.0067430436611176,0.07068693481518204,0.5794127899007584,6.779452707154645,0.10555032033291696,9,4.892985887635258,2899,0.03002986942001196,2.7707603655567405,0.5721047146911439
21,1.1976603507995605,1.0251483380794526,0.0740540655119984,0.9868548397974517,7.30618716700922,0.11732762801882718,9,5.10452187427384,935,0.05689550496497967,2.863769458175505,0.5010201244521482
22,1.2164146304130554,1.0518150985240937,0.07271431370437718,0.5823746727407537,9.4931502801326,0.02039683985325926,8,2.288509469497564,1735,0.5129737823825475,0.00994210925059472,0.5731962383464698
23,1.0232259511947632,0.840004813671112,0.10633562486968891,0.9327221030097587,1.193518326939662,0.022299268412052976,8,5.411730353339574,2151,0.6394765242969492,3.057898738176274,0.574894525985188
24,1.0065181732177735,0.8210422217845916,0.09844160769360313,0.9265705639105772,1.199455104385081,0.03523232239350829,8,5.968937324252471,1973,0.5575242497709516,4.083555747195874,0.5892398536266658
25,0.9970668852329254,0.8088544487953186,0.1012252030381439,0.9345526955491158,1.1231006070427099,0.04530567783776096,11,5.653797645889952,2143,0.6646657139626326,4.686185056454437,0.5932033784377853
26,1.0988776803016662,0.9178217113018036,0.1086883709529885,0.8858165596809864,1.272919116582575,0.049377596795716835,11,6.814115097222367,2198,4.185755447140613,0.8095423055575861,0.8265984400566533
27,1.122818112373352,0.9380232572555542,0.1061747004881762,0.8611906635639156,2.7688584248389967,0.044192535329765255,11,7.028747941339434,1649,0.5487442106963163,1.0764888638774843,0.8179622967212772
28,1.1487574219703673,0.980734771490097,0.09722252870291116,0.8319223592750968,3.267409182024645,0.011808056045385457,11,7.042153484073576,2256,0.004418970287022134,0.4881753356571465,0.674959305192028
29,1.1786314129829407,1.0132979929447175,0.07393963533158074,0.8026496743936498,3.5584983244796047,0.017171526177020776,11,4.236412875979818,2200,3.1182257741276644,0.16096122543187186,0.6660922534970491
30,1.143776535987854,0.9751734972000122,0.10697584445121991,0.810429448868567,3.390041169160875,0.032148451830602616,10,9.965310180562092,2279,0.003348876802905689,0.15138062730217633,0.6742688521296416
31,1.1806721210479736,1.0031218588352204,0.08884802150128616,0.9952781224991294,0.6141324350700702,0.005040936775473457,10,9.562884387666717,1688,2.9580876768220876,0.10523342516025026,0.621685162879487
32,1.025414663553238,0.8399333238601685,0.10047565191350312,0.9407426045255474,0.8576776438634464,0.01450179570963915,10,5.759442609945014,1809,0.37444942013517307,4.818309575199403,0.619297951342894
33,1.0140250205993653,0.8215958714485169,0.10485847502184986,0.9468045050621682,0.5672636773559179,0.013241007620520846,10,5.888866699842327,1866,0.7819362325156199,4.323699755117745,0.6179107038368825
34,1.0577557921409606,0.8828572750091552,0.10026682495292989,0.9412116582961954,1.7458905852733284,0.027647147260664594,10,5.9952217902934155,1872,0.38998957208954566,4.347454855622594,0.5453418372398106
35,1.065158760547638,0.9001250863075256,0.08832028729268016,0.9635499979802264,1.7618744140053537,0.03102374400347148,8,2.9020582897105074,2015,1.0416079947702035,4.20698685040545,0.5425899571073571
36,1.0386031329631806,0.872230875492096,0.08753846679753904,0.9541445719388374,1.7733813737599697,0.029452077080473836,8,3.061049446591356,2006,0.1131870228954357,4.93512270646843,0.5438430269931132
37,1.2530490517616273,1.0583105266094208,0.09428003379547412,0.7056270028733752,2.5382796273767347,0.005316768437293657,7,1.2917610536620936,1158,0.11779613794609736,0.0011523163147932553,0.7214882294143701
38,1.213627576828003,1.0476036250591279,0.06549856628699423,0.7247164237676588,2.5718105757359675,0.005499420757194928,7,0.1886597603663609,1509,0.11860492831208524,9.500794769545852,0.5958034651314948
39,1.0489098966121673,0.8505897939205169,0.10545145130400675,0.873274664405732,2.398989381970299,0.09192315954594095,7,4.521148203474631,1547,0.01001308691415809,0.0011530909086705312,0.6021065721115739
40,1.2301647305488586,1.0524102687835692,0.06721390984216087,0.9098904254879016,4.038805214845486,0.00555681419290152,12,0.3138015516727517,1127,0.01503001988920833,9.835008618479264,0.7250523299514328
41,1.0908359050750733,0.9253132581710816,0.09342122248321684,0.4203594018702575,4.165102041935672,0.05575184335285253,11,6.5044968262994916,2682,0.30920168216821325,1.1521090828042724,0.6434749572329717
42,1.132600486278534,0.9678436875343323,0.09276783711848191,0.4112723950844536,5.274087194719511,0.06979376646667375,11,8.422720112403308,2711,0.0020892586107427212,0.3365251205991165,0.5673946473657012
43,0.9687534391880035,0.7583477020263671,0.11437597552578296,0.8486398499383355,0.6416064284117864,0.05629397225344476,11,6.395891976128331,1899,0.8866805644893017,1.1496538519115813,0.6410053078540952
44,1.0515029013156891,0.8693921387195587,0.10494433250469169,0.8465942443541423,0.758081820332744,0.013837922928133503,9,5.420773190847793,1960,1.1162761890918662,5.9710854618148765,0.5660840550711883
45,1.2145045876502991,1.0366375923156739,0.08229104987955795,0.8447992888828486,1.277865479517751,0.002982817855611001,9,5.499641955645091,2358,0.8175023188450604,6.492156476287881,0.5984284510564354
46,1.0960512936115265,0.930819821357727,0.10277501473762152,0.8453556460553328,1.2808104782363012,0.03840480120087891,3,6.417331156118589,2361,1.7879329233731245,6.126729082374544,0.5226163128351933
47,1.0579974472522735,0.8841135919094085,0.10311138088965767,0.8958528664400093,1.1973831703362157,0.03545981906800467,3,6.467801959355968,2384,1.9206636991940598,0.0029940492423964683,0.5206325503266785
48,0.8950460970401763,0.6343371391296386,0.1393506814204589,0.8903585199979626,0.09290082117650156,0.08506584305579346,12,7.539620616530125,2094,0.8246988096818816,3.249764147190081,0.6467841770343221
49,0.9025011181831359,0.666132116317749,0.1345914812100413,0.8977940873302257,0.048627552286071074,0.03803180303406206,5,7.361783503568962,2138,1.7081334611546184,0.0023375297862796044,0.6409358827747168
50,0.9143733203411102,0.6438109934329986,0.1342212919534998,0.9225982689574869,0.18192950038753097,0.19037335332169134,12,7.413898396644818,2087,0.2841655157015855,3.026170651448367,0.6370988100722886
51,0.948845511674881,0.6966697156429291,0.12360333586720001,0.5224237063886119,0.42525993386451694,0.15894836998545928,12,7.499744580179804,2114,0.2989656597480319,1.327521120435468,0.6454403303457492
52,0.9423129498958588,0.6655469417572022,0.1297182126470264,0.6294117019656347,0.1924219481234039,0.15998500006829913,12,7.585353396834922,2509,0.2592239656036358,1.1567062434404034,0.6481144989916598
53,0.9025873243808746,0.639316338300705,0.1381837807717905,0.6553044174030459,0.025921074746482087,0.1474480695528126,12,7.461875268547885,2099,2.441815667334153,0.015044426174669853,0.6525468412147764
54,0.9306663751602173,0.6442931175231934,0.14025794021161367,0.8781950555499715,0.044163061944279325,0.15713157042864787,12,7.404462961873246,2494,0.2968597013765022,0.02072797733911091,0.6919712093833335
55,0.9071803510189056,0.6059520006179809,0.16182164543145414,0.47135108249180346,0.009369541720078922,0.1558257086749271,12,7.436851716186276,2564,0.24300360821675537,0.006155963312441251,0.6923836003487603
56,0.9768298327922821,0.7548844158649445,0.1295793629901944,0.6713484831379504,0.10359289638923366,0.20761645802859022,4,8.706583205660325,2480,5.910063121667487,0.009245938863910886,0.6862372115672308
57,0.9628277003765107,0.7230172872543335,0.14739732155827087,0.6259887716613416,0.030373553107009288,0.2046238133074524,4,9.023552179327849,2534,5.1871863760941554,0.014714549426929414,0.6932796021474754
58,0.90036062002182,0.6458390653133392,0.12794035542035825,0.6185346059372788,0.03849113090290287,0.08536928922971251,12,7.474693851713988,2554,2.1971586035956174,0.04644901007628907,0.7368110759734684
59,0.9432483971118927,0.7131971538066864,0.13140249047023544,0.540199307186414,0.31733693498959475,0.08605963020870575,12,8.219344157543983,2988,2.494144460425244,0.03432307868650284,0.7382632487377554
60,1.2281731128692628,1.0504549980163573,0.07888023087775554,0.5424961475888459,9.014831859621065,0.08519219003980778,12,8.053025279028601,2909,0.18809001732809127,0.0038434814421463253,0.743619601828091
