1,A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess
,135,Cs,55,15653.6496,0.3635,16302.5968,5.9131,-2564.1451,0.7055,-938.499,9.4342,-10827.4878,4.8703,-6703.2724,0.3021,80,1.454545455,5,-2,-3.333333333,,8762.1093,25
,135,Ba,56,16439.7789,1.0219,14785.0139,2.4125,-1861.9957,0.2454,-3234.3472,10.2641,-7013.7914,0.2454,-10703.3141,19.9311,79,1.410714286,6,-3,-6,,6971.9707,23
,135,La,57,17291.7019,29.4938,13150.4566,9.4324,-1012.7993,9.434,-5707.5857,15.1203,-7041.2633,9.4324,-9881.8773,22.4631,78,1.368421053,7,-4,-9.333333333,,9496.1168,21
,135,Ce,58,18340.7205,19.3095,11640.7377,10.314,-362.2652,10.2746,-8402.6879,21.7085,-2955.2765,10.2645,-14159.6261,22.7628,77,1.327586207,8,-5,-13.33333333,,7854.7274,19
,135,Pr,59,19140.9167,17.1999,10019.4223,30.3408,408.4769,30.3408,-10873.5429,83.741,-3006.1842,23.1699,-13360.7473,16.7124,76,1.288135593,9,-6,-18,,10479.1904,17
,135,Nd,60,20023.8757,50.3494,8373.3386,25.1659,1069.9125,37.9718,-13356.3976,155.8066,1330.3075,27.955,-17521.0294,46.0751,75,1.25,10,-7,-23.33333333,,8638.4951,15
,135,Pm,61,20797.3122,96.9694,6702.6798,83.8396,1813.4189,95.2966,-15915#,212#,1176.6995,85.356,-16758#,212#,74,1.213114754,11,-8,-29.33333333,,11369.7387,13
,135,Sm,62,21769#,336#,5102.7841,161.49,2485.9024,157.0574,-18608#,428#,5500.2495,155.0789,-21128#,337#,73,1.177419355,12,-9,-36,,9552#,11
,135,Eu,63,23054#,357#,3318#,202#,3198#,280#,-21095#,445#,5327#,200#,-20689#,445#,72,1.142857143,13,-10,-43.33333333,,12419#,9
,135,Gd,64,24332#,640#,1597#,499#,3606#,565#,*,,9837#,445#,*,,71,1.109375,14,-11,-51.33333333,,10791#,7
,135,Tb,65,*,,395#,499#,3986#,565#,*,,9459#,500#,*,,70,1.076923077,15,-12,-60,,*,5
0,136,In,49,5143#,361#,*,,-8995#,583#,23537#,300#,*,,11591#,300#,87,1.775510204,-1,5,-1.25,,1931#,38
,136,Sn,50,5879#,200#,31288#,361#,-8130#,209#,18255#,200#,-30639#,447#,5449#,200#,86,1.72,0,4,0,+,3609#,36
,136,Sb,51,6630.5217,6.5903,27115#,200#,-4520.2518,60.3149,15038.3351,15.339,-24686#,300#,5150.5827,6.0786,85,1.666666667,1,3,0.75,,2887.8754,34
,136,Te,52,8034.163,3.5701,22569.4626,3.903,-303.6415,3.0177,12003.891,2.281,-21081.998,3.8278,1282.5824,3.0734,84,1.615384615,2,2,1,+,4767.807,32
,136,I,53,11644.421,14.9963,20104.1628,14.5172,-2334.8589,14.4009,6793.6304,14.3111,-17143.8635,14.4316,-1203.1779,14.6546,83,1.566037736,3,1,0.75,,3837.363,30
,136,Xe,54,14445.9718,0.0087,18473.36,2.7464,-3665.8889,3.4863,2457.909,0.2448,-15989.3509,1.7223,-6918.5317,0.3635,82,1.518518519,4,0,0,+,8087.1234,28
,136,Cs,55,15590.3258,1.873,16873.3574,5.2054,-3060.2693,4.4761,-301.3673,53.2039,-9848.6464,2.7826,-6559.5183,1.8574,81,1.472727273,5,-1,-1.25,,6828.2166,26
,136,Ba,56,16079.7131,0.1067,15339.1868,0.2448,-2033.0205,0.2448,-2378.5294,0.2126,-9762.6854,3.6667,-10314.9397,9.43,80,1.428571429,6,-2,-3,+,9107.7424,24
,136,La,57,16961.465,56.7833,13724.2645,53.171,-1309.7104,53.1811,-4697.0669,54.3908,-5744.5022,53.1722,-9492.4982,54.153,79,1.385964912,7,-3,-5.25,,7465.3482,22
,136,Ce,58,17818.2877,20.3894,12136.4898,0.2379,-498.5626,1.102,-7309.2524,11.8219,-5946.8661,0.2161,-13643.996,11.8219,78,1.344827586,8,-4,-8,+,9963.5603,20
,136,Pr,59,18955.0574,23.3229,10699.7042,22.9869,-41.7592,38.1202,-10170.4981,70.0161,-1985.9343,14.8372,-13198.1192,22.2951,77,1.305084746,9,-5,-11.25,,8475.867,18
,136,Nd,60,19695.4909,16.7124,8944.3412,23.5642,844.4745,23.5818,-12388.3983,17.1999,-1871.9608,15.654,-17208.2865,83.741,76,1.266666667,10,-6,-15,+,11056.9958,16
,136,Pm,61,20548.6505,80.7966,7219.8653,71.9986,1632.6252,74.8658,-14926#,207#,2476.9781,70.0764,-16384.0187,169.3543,75,1.229508197,11,-7,-19.25,,9178.9118,14
,136,Sm,62,21577#,196#,5742.3986,17.1999,2190.0002,27.2412,-17721#,298#,2113.7496,22.8483,-20734#,196#,74,1.193548387,12,-8,-24,+,12024.995,12
,136,Eu,63,22586#,358#,4058#,200#,2959#,246#,-20344#,537#,6530#,212#,-20065#,445#,73,1.158730159,13,-9,-29.25,,10167#,10
,136,Gd,64,23703#,499#,2292#,357#,3625#,423#,*,,6479#,336#,-24108#,499#,72,1.125,14,-10,-35,+,12911#,8
,136,Tb,65,*,,677#,583#,3876#,640#,*,,10959#,537#,*,,71,1.092307692,15,-11,-41.25,,10918#,6
0,137,In,49,4862#,500#,*,,-9175#,640#,24230#,403#,*,,12269#,447#,88,1.795918367,-1,6,-1.2,,2931#,39
,137,Sn,50,5660#,300#,31907#,500#,-8435#,361#,19154#,300#,*,,6286#,300#,87,1.74,0,5,0,,2051#,37
,137,Sb,51,6512.6963,52.2304,27528#,304#,-4795#,207#,16295.8761,52.833,-26379#,304#,6293.5687,52.2135,86,1.68627451,1,4,0.8,,3624.8209,35
,137,Te,52,7717.608,2.7163,23249.452,3.723,-854.7877,2.835,13079.6519,2.103,-20423#,200#,2170.1444,14.3427,85,1.634615385,2,3,1.2,,2949.801,33
,137,I,53,8719.7249,8.6328,21243.8784,8.7894,142.3287,8.9479,10189.5038,8.3889,-19138.35,10.2111,2001.5836,8.3834,84,1.58490566,3,2,1.2,,4882.3619,31
,137,Xe,54,12112.6854,3.6699,19232.5659,1.7254,-1871.197,2.0687,5337.9868,0.2689,-15247.1059,2.2833,-4115.8771,1.8759,83,1.537037037,4,1,0.8,,4025.562,29
,137,Cs,55,15106.4519,0.3426,17344.5347,2.08,-3113.3863,5.9096,595.093,1.6322,-14289.5187,14.1913,-5730.0112,0.1854,82,1.490909091,5,0,0,,8278.2353,27
,137,Ba,56,16013.3821,0.0788,15885.9782,3.6672,-2502.7336,2.4128,-1802.6356,0.2727,-8581.2017,0.2483,-9755.2312,53.1715,81,1.446428571,6,-1,-1.2,,6905.6397,25
,137,La,57,16640.0438,9.5684,14136.8509,1.6471,-1494.8381,1.64,-3939.0515,8.2887,-8090.9813,2.4653,-8703.6335,1.6076,80,1.403508772,7,-2,-2.8,,9174.6956,23
,137,Ce,58,17445.0938,10.2675,12646.0526,0.2668,-790.1691,1.0553,-6334.7962,11.7301,-4320.6571,0.2639,-12649.6625,11.4572,79,1.362068966,8,-3,-4.8,,7481.5335,21
,137,Pr,59,18408.5779,14.347,11136.2983,12.4533,-132.3378,29.1049,-9128.9555,15.3704,-4453.2971,53.7897,-12073.8344,14.347,78,1.322033898,9,-4,-7.2,,9932.711,19
,137,Nd,60,19512.9855,22.435,9545.6035,15.584,409.3383,20.1228,-11592.3137,30.458,-364.3903,11.7291,-16485.3644,70.0608,77,1.283333333,10,-5,-10,,8455.9897,17
,137,Pm,61,20153.1654,83.9224,7714.9284,17.5988,1439.8173,18.0623,-13926.9546,13.7562,-21.4084,17.3572,-15333.2772,18.0623,76,1.245901639,11,-6,-13.2,,10974.2535,15
,137,Sm,62,21277.0694,157.2533,6355.9778,34.4187,1915.8089,54.6625,-16778#,299#,3918.671,30.9586,-19819#,198#,75,1.209677419,12,-7,-16.8,,9252.0743,13
,137,Eu,63,22141#,196#,4661.5167,83.0185,2836.8335,50.4908,-19179#,401#,3735.0481,69.2113,-19127#,298#,74,1.174603175,13,-8,-20.8,,11974#,11
,137,Gd,64,23106#,499#,2934#,336#,3593#,422#,*,,8308#,298#,-23385#,582#,73,1.140625,14,-9,-25.2,,10195#,9
,137,Tb,65,24057#,566#,1397#,446#,3844#,499#,*,,7988#,446#,*,,72,1.107692308,15,-10,-30,,13139#,7
0,138,Sn,50,5483#,447#,*,,-8475#,500#,20186#,400#,*,,6479#,403#,88,1.76,0,6,0,+,3432#,38
,138,Sb,51,6286#,300#,28258#,424#,-5105#,361#,17330#,300#,-26109#,500#,6583#,300#,87,1.705882353,1,5,0.833333333,,2661#,36
,138,Te,52,7413.3516,4.4206,24104#,200#,-1687.1519,4.9366,14276.2495,4.7119,-22835#,300#,2588.9557,9.199,86,1.653846154,2,4,1.333333333,+,4463.5506,34
,138,I,53,8577.3211,15.3896,22050.9622,8.3381,-385.8215,6.7074,10907.1185,10.9278,-19208.4883,52.5032,2332.1864,5.9625,85,1.603773585,3,3,1.5,,3694.9592,32
,138,Xe,54,9685.7102,2.804,20124.9072,3.6146,136.5922,3.9249,8289.5615,2.815,-17957.4531,3.5035,-1497.79,2.8202,84,1.555555556,4,2,1.333333333,+,5660.1482,30
,138,Cs,55,12690.8092,9.3448,17919.7456,16.8872,-1268.5042,10.3665,3626.38,9.1645,-13819.7307,12.4161,-3236.9453,9.1584,83,1.509090909,5,1,0.833333333,,4412.5739,28
,138,Ba,56,15517.3627,0.0791,16410.5777,0.2494,-2560.8872,0.2494,-695.9392,0.4438,-13167.3628,0.2699,-9192.2586,1.6235,82,1.464285714,6,0,0,+,8611.723,26
,138,La,57,16618.5565,53.1726,14752.4952,1.8891,-2047.1586,0.416,-3384.5415,10.0081,-7256.6068,0.3817,-8665.9609,0.4361,81,1.421052632,7,-1,-1.166666667,,7443.8609,24
,138,Ce,58,17199.9529,0.4977,13256.7296,0.4501,-1040.7803,0.4615,-5548.6847,11.6135,-7133.4368,0.4454,-12435.371,8.1464,80,1.379310345,8,-2,-2.666666667,+,9718.4194,22
,138,Pr,59,17931.0819,15.2125,11669.321,54.1055,-335.1237,22.3033,-8214.4966,15.3256,-3276.9724,10.1406,-11616.2156,15.418,79,1.338983051,9,-3,-4.5,,7998.371,20
,138,Nd,60,18960.5206,16.5613,10086.5742,11.6073,390.8005,23.4573,-10519.4095,16.5613,-3387.3877,11.6084,-16015.6418,17.4554,78,1.3,10,-4,-6.666666667,+,10504.5309,18
,138,Pm,61,19887.0834,70.0405,8151.8913,16.3044,1188.7137,23.396,-13164.6944,30.2579,998.4727,14.1707,-14994.0327,30.8773,77,1.262295082,11,-5,-9.166666667,,8912.8298,16
,138,Sm,62,20829.5095,17.1999,6876.4172,16.7124,1723.7543,16.7124,-15838#,201#,797.2256,16.6469,-19423.1869,12.6024,76,1.225806452,12,-6,-12,+,11577.4352,14
,138,Eu,63,21649#,198#,5157.695,74.5115,2589.3169,50.3782,-18149#,301#,5034.2115,30.8379,-18607#,299#,75,1.19047619,13,-7,-15.16666667,,9675.0901,12
,138,Gd,64,22712#,359#,3427#,201#,3292#,280#,-20729#,541#,5043#,202#,-22764#,448#,74,1.15625,14,-8,-18.66666667,+,12517#,10
,138,Tb,65,23843#,583#,1935#,358#,3775#,424#,*,,9256#,300#,*,,73,1.123076923,15,-9,-22.5,,10705#,8
,138,Dy,66,*,,419#,585#,4174#,642#,*,,8994#,585#,*,,72,1.090909091,16,-10,-26.66666667,+,*,6
0,139,Sn,50,5303#,500#,*,,-8915#,565#,20895#,400#,*,,7269#,500#,89,1.78,0,7,0,,1871#,39
,139,Sb,51,6132#,403#,28798#,565#,-5365#,500#,18421#,400#,*,,7575#,400#,88,1.725490196,1,6,0.857142857,,3472#,37
,139,Te,52,7043.9542,4.116,24633#,300#,-1997.7438,4.6881,15439.5059,4.1376,-21984#,400#,3703.5113,6.9332,87,1.673076923,2,5,1.428571429,,2580.4036,35
,139,I,53,8257.3314,9.2912,22988.5135,52.3172,-1205.5474,4.7974,12230.1246,5.0856,-21110#,300#,3429.9624,4.8893,86,1.622641509,3,4,1.714285714,,4562.3722,33
,139,Xe,54,9403.8082,2.145,20918.7661,3.0004,-340.7117,2.7489,9269.3315,2.1573,-17237.5625,4.3508,-828.8761,9.4057,85,1.574074074,4,3,1.714285714,,3743.66,31
,139,Cs,55,10297.9522,3.1287,18922.762,8.95,653.1754,3.749,6521.2925,3.1918,-16010.1498,6.735,-510.6007,3.1237,84,1.527272727,5,2,1.428571429,,5885.3783,29
,139,Ba,56,13335.153,0.0565,17108.4457,0.2728,-925.4687,3.6675,2043.8237,2.1039,-12230.6445,2.8153,-6471.8276,0.3408,83,1.482142857,6,1,0.857142857,,4723.43,27
,139,La,57,16224.1517,1.7486,15254.5507,0.6777,-2065.3402,0.7072,-2393.7286,3.599,-11624.3238,9.1785,-7727.8323,0.7857,82,1.438596491,7,0,0,,8780.2909,25
,139,Ce,58,17181.6122,2.1195,13814.2826,2.1034,-1532.0024,2.1031,-4940.8116,27.5526,-5984.9066,2.1035,-11900.1928,10.228,81,1.396551724,8,-1,-1.142857143,,7463.1928,23
,139,Pr,59,17769.4747,8.9164,12265.7292,4.001,-610.1106,10.1137,-7327.6239,14.0179,-5604.2153,3.6731,-10882.7885,12.1632,80,1.355932203,9,-2,-2.571428571,,9771.1038,21
,139,Nd,60,18575.5968,29.9145,10676.1066,27.5235,174.462,29.3736,-9636.7006,29.5953,-1740.0342,27.5257,-15173.8778,29.867,79,1.316666667,10,-3,-4.285714286,,8071.0659,19
,139,Pm,61,19570.8063,18.8335,8877.1568,15.8372,1009.9277,18.0079,-12102.9769,18.9095,-1661.1328,16.8785,-14074.574,18.0079,78,1.278688525,11,-4,-6.285714286,,10657.9765,17
,139,Sm,62,20531.2099,30.6145,7374.2022,15.9979,1408.4747,22.0075,-14749#,196#,2347.9817,15.9089,-18701.8716,29.9897,77,1.241935484,12,-5,-8.571428571,,8953.7747,15
,139,Eu,63,21394.784,13.8601,5903.1354,18.5203,2239.3617,83.9395,-17268#,298#,2227.3475,17.5374,-17810#,201#,76,1.206349206,13,-6,-11.14285714,,11719.6939,13
,139,Gd,64,22561#,357#,4218#,198#,2801#,249#,-19931#,537#,6577#,196#,-22102#,358#,75,1.171875,14,-7,-14,,10043#,11
,139,Tb,65,23306#,499#,2562#,298#,3593#,357#,*,,6330#,299#,-21271#,585#,74,1.138461538,15,-8,-17.14285714,,12601#,9
,139,Dy,66,*,,1065#,582#,4124#,640#,*,,10670#,539#,*,,73,1.106060606,16,-9,-20.57142857,,10841#,7
0,140,Sn,50,5123#,500#,*,,*,,21877#,300#,*,,7488#,500#,90,1.8,0,8,0,+,3252#,40
,140,Sb,51,5883#,671#,*,,-5845#,671#,19216#,600#,*,,7743#,600#,89,1.745098039,1,7,0.875,,2412#,38
,140,Te,52,6814.0906,14.8678,25435#,400#,-2622#,201#,16619.0122,14.5649,-24346#,400#,4032.1965,14.925,88,1.692307692,2,6,1.5,+,4233.687,36
,140,I,53,7768.9492,13.4974,23534#,300#,-1524.249,13.4396,13443.5156,14.6239,-20845#,400#,3967.0454,12.2975,87,1.641509434,3,5,1.875,,3206.5769,34
,140,Xe,54,9156.8533,3.6449,21868.4088,4.4455,-986.0981,3.2597,10281.4437,8.2356,-20070.3522,4.237,-356.6911,3.9042,86,1.592592593,4,4,2,+,5413.1933,32
,140,Cs,55,10305.3462,12.2922,19647.7707,10.1371,70.5706,16.3866,7262.3211,8.2169,-15867.7455,9.1249,-207.1386,8.2027,85,1.545454545,5,3,1.875,,4419.9679,30
,140,Ba,56,11148.7355,7.9035,17873.603,8.3824,736.3492,7.8995,4806.3219,8.0002,-14912.29,8.1849,-4116.8423,7.9051,84,1.5,6,2,1.5,+,6425.3055,28
,140,La,57,13941.2874,0.7357,16002.9734,9.1785,-398.1202,1.9689,374.1676,6.147,-10899.942,3.1919,-5425.6361,1.999,83,1.456140351,7,1,0.875,,5160.9966,26
,140,Ce,58,16650.9965,1.4045,14390.3634,1.3362,-1612.0637,1.3354,-3816.9806,3.5146,-10449.2804,1.3368,-11316.8927,3.8389,82,1.413793103,8,0,0,+,9187.8037,24
,140,Pr,59,17699.9965,11.7462,12750.761,6.156,-1073.6551,53.5245,-6474.1806,24.987,-4752.8172,6.147,-10740.6153,28.1965,81,1.372881356,9,-1,-1.125,,7928.8927,22
,140,Nd,60,18382.7006,12.0521,11269.3219,3.2983,-173.6125,3.2763,-8801.301,12.9156,-4588.4762,3.8719,-14827.5361,13.9736,80,1.333333333,10,-2,-2.5,+,10311.6347,20
,140,Pm,61,19440.3126,26.8562,9661.1219,26.2084,703.4586,26.7925,-11226.101,56.9457,-672.3652,24.4938,-13903.1354,26.5536,79,1.295081967,11,-3,-4.125,,8782.3361,18
,140,Sm,62,20100.8091,17.1999,8016.7057,17.0531,1318.4361,17.1999,-13673.6675,30.612,-727.9868,30.2258,-18129.2121,18.1416,78,1.258064516,12,-4,-6,+,11147.0344,16
,140,Eu,63,21378.906,58.6268,6649.5176,52.8281,1759.0614,86.1814,-16503.6675,802.1453,3226.1119,53.2993,-17426#,202#,77,1.222222222,13,-5,-8.125,,9659.2121,14
,140,Gd,64,22265#,202#,4862.4476,30.3408,2603.7053,30.612,-18952#,402#,3308.9801,29.9897,-21723#,299#,76,1.1875,14,-6,-10.5,+,12222#,12
,140,Tb,65,23024#,855#,3310.5444,800.9755,3336#,824#,-21165#,944#,7626.8025,800.5959,-20853#,944#,75,1.153846154,15,-7,-13.125,,10423#,10
,140,Dy,66,24042#,643#,1748#,448#,3835#,499#,*,,7512#,446#,*,,74,1.121212121,16,-8,-16,+,13201#,8
,140,Ho,67,*,,295#,583#,4157#,707#,*,,11524#,582#,*,,73,1.089552239,-15,-9,-5.625,,*,6
0,141,Sb,51,5633#,640#,*,,-6135#,640#,20387#,500#,*,,8756#,500#,90,1.764705882,1,8,0.888888889,,3221#,39
,141,Te,52,6607#,400#,25938#,565#,-2945#,500#,17528#,400#,-23468#,500#,4865#,400#,89,1.711538462,2,7,1.555555556,,2373#,37
,141,I,53,7598.3381,16.3341,24454#,400#,-2291.1892,54.5143,14550.6853,18.3114,-22825#,600#,4988.4776,16.0057,88,1.660377358,3,6,2,,4391.7612,35
,141,Xe,54,8695.3587,3.5956,22570.1706,4.5681,-1318.4624,3.5708,11535.1833,6.0518,-19118.8306,14.6646,781.1114,8.6925,87,1.611111111,4,5,2.222222222,,3282.1654,33
,141,Cs,55,9918.8988,9.7143,20584.3295,10.0296,-545.9984,12.4431,8452.4925,10.0353,-18160.0995,15.2048,719.236,11.6318,86,1.563636364,5,4,2.222222222,,5498.9309,31
,141,Ba,56,10961.2106,5.3244,18665.8481,5.7338,226.0061,5.3195,5698.5656,5.4569,-14035.0017,5.8059,-3491.7508,5.3507,85,1.517857143,6,3,2,,4535.905,29
,141,La,57,11850.0989,4.1361,16806.6973,5.182,1191.0128,4.1382,3084.6899,4.0971,-13169.0764,9.1766,-2926.9347,3.9292,84,1.473684211,7,2,1.555555556,,6689.1023,27
,141,Ce,58,14615.9525,2.4056,15095.0821,1.3388,-134.5727,1.338,-1239.5379,3.0461,-9452.1236,8.0006,-8816.1487,6.0009,83,1.431034483,8,1,0.888888889,,5428.1487,25
,141,Pr,59,17328.5173,3.9159,13370.0947,1.5437,-1298.5841,2.2209,-5491.6016,14.0524,-8991.4452,1.5437,-9828.6052,3.5877,82,1.389830508,9,0,0,,9399.6246,23
,141,Nd,60,18317.2262,27.7034,11811.7206,3.7773,-697.6704,3.2035,-8257.5603,9.0568,-3406.2639,3.0472,-14050.7915,24.4287,81,1.35,10,-1,-1.111111111,,8005.5915,21
,141,Pm,61,19164.5396,19.49,10272.2217,14.4411,253.966,16.1683,-10597.285,18.8405,-3125.6759,15.2628,-13138.3045,18.746,80,1.31147541,11,-2,-2.444444444,,10382.2035,19
,141,Sm,62,19696.3665,13.8316,8494.9719,28.814,1225.0937,14.5022,-12709.7287,21.5245,1034.3158,9.1366,-17019.3321,52.2401,79,1.274193548,12,-3,-4,,8549.3321,17
,141,Eu,63,20670.2315,18.2393,7002.5606,18.5571,1722.2955,18.1604,-15384.8041,106.0149,997.4285,27.3197,-16214.687,30.67,78,1.238095238,13,-4,-5.777777778,,11011.0195,15
,141,Gd,64,21735#,197#,5421.9438,22.5593,2342.5087,34.7741,-17842#,299#,4942.7436,23.3803,-20813.2709,800.7318,77,1.203125,14,-5,-7.777777778,,9513.2709,13
,141,Tb,65,22553#,316#,3720.7334,106.0771,3180.145,105.3498,-20176#,414#,5156.1316,117.199,-19782#,414#,76,1.169230769,15,-6,-10,,12129.8829,11
,141,Dy,66,23825#,582#,2329#,357#,3406#,422#,*,,9111#,299#,-24136#,582#,75,1.136363636,16,-7,-12.44444444,,10624#,9
,141,Ho,67,*,,812#,499#,4178#,567#,*,,8829#,895#,*,,74,1.104477612,-15,-8,-5.217391304,,13118#,7
0,142,Sb,51,5362#,671#,*,,*,,21193#,300#,*,,8988#,500#,91,1.784313725,1,9,0.9,,2141#,40
,142,Te,52,6325#,500#,26637#,583#,-3464#,640#,18680#,500#,*,,5306#,500#,90,1.730769231,2,8,1.6,+,3951#,38
,142,I,53,7339.3828,13.0771,24991#,600#,-2578#,300#,15711.587,8.6205,-22552#,500#,5323.0214,5.7194,89,1.679245283,3,7,2.1,,2947.6216,36
,142,Xe,54,8385.8232,3.5665,23440.1414,14.6291,-1958.5697,4.6515,12612.6085,6.5075,-21849#,400#,1176.3845,9.5836,88,1.62962963,4,6,2.4,+,5103.6578,34
,142,Cs,55,9607.4542,10.8241,21486.2758,14.0206,-959.5625,9.2455,9509.3939,9.4076,-17876.8616,17.3407,1146.6177,8.8444,87,1.581818182,5,5,2.5,,4108.5233,32
,142,Ba,56,10716.988,9.8717,19433.7377,6.3618,-294.9286,6.5507,6690.6387,6.3551,-16933.9193,6.587,-2983.7314,7.2112,86,1.535714286,6,4,2.4,+,6181.083,30
,142,La,57,11854.5269,6.3046,17552.154,10.3306,438.1621,11.1081,3762.4167,6.3113,-12835.5701,11.1364,-2664.2105,6.303,85,1.49122807,7,3,2.1,,5165.4246,28
,142,Ce,58,12601.3048,2.4698,15842.9327,8.2654,1303.9942,2.456,1417.1597,2.1988,-12089.3746,5.8435,-6589.6802,2.4869,84,1.448275862,8,2,1.6,+,7173.1561,26
,142,Pr,59,15242.776,6.1154,14052.2497,1.5439,302.1253,1.5544,-2644.8311,23.6385,-8145.4944,4.0975,-7666.1652,2.81,83,1.406779661,9,1,0.9,,5843.1515,24
,142,Nd,60,17835.4451,3.4938,12453.7705,1.4524,-809.1047,1.3515,-6968.1259,1.4168,-7807.9688,1.4526,-13498.4416,14.0287,82,1.366666667,10,0,0,+,9829.8537,22
,142,Pm,61,19072.1255,33.8139,11033.2509,24.3791,-437.585,25.632,-9832.6062,38.2026,-2415.9734,23.6385,-13278.8943,25.0869,81,1.327868852,11,-1,-1.1,,8689.922,20
,142,Sm,62,19668.6202,12.6358,9302.6253,3.7563,610.3365,11.7518,-12022.4074,28.007,-2079.3808,3.4241,-17127.6008,12.7593,80,1.290322581,12,-2,-2.4,+,11119.2881,18
,142,Eu,63,20465.6202,59.6629,7674.8253,38.6019,1180.5246,32.2196,-14749.4074,701.2021,1925.0312,33.1468,-16156.0169,35.9713,79,1.253968254,13,-3,-3.9,,9454.6008,16
,142,Gd,64,21319.8803,39.5199,6081.5188,30.612,2113.3344,30.3408,-16840#,728#,1685.4663,29.2192,-20489.9974,108.9052,78,1.21875,14,-4,-5.6,+,11806.6094,14
,142,Tb,65,22219.8803,1063.7489,4151.5188,702.4508,2765.2376,701.1147,-19309#,807#,6077.1537,700.6716,-19248#,761#,77,1.184615385,15,-5,-7.5,,10089.9974,12
,142,Dy,66,23432#,831#,2915#,729#,3115#,756#,-22190#,884#,5816#,729#,-23826#,831#,76,1.151515152,16,-6,-9.6,+,12808#,10
,142,Ho,67,24076#,641#,1346#,895#,3925#,500#,*,,10001#,414#,*,,75,1.119402985,-15,-7,-4.772727273,,10957#,8
,142,Er,68,*,,-322#,641#,4576#,709#,*,,10164#,582#,*,,74,1.088235294,-14,-8,-5.090909091,+,*,6
0,143,Te,52,6003#,640#,*,,-3645#,640#,19673#,500#,*,,6201#,500#,91,1.75,2,9,1.636363636,,2052#,39
,143,I,53,7006#,201#,25828#,539#,-3165#,447#,16886#,200#,-24469#,361#,6369#,200#,90,1.698113208,3,8,2.181818182,,4058#,37
,143,Xe,54,8148.2096,5.48,24111#,400#,-2422.7178,5.8499,13734.323,8.206,-20942#,500#,2240.356,8.4635,89,1.648148148,4,7,2.545454545,,3044.5518,35
,143,Cs,55,9340.8037,11.9123,22326.795,17.5532,-1629.4708,8.5673,10495.9488,10.5391,-20161.5205,9.0403,2095.4203,9.6127,88,1.6,5,6,2.727272727,,5232.2804,33
,143,Ba,56,10347.3492,8.5984,20317.8386,7.3474,-717.5349,7.0878,7669.1731,7.1841,-15996.5278,7.2762,-1984.5731,9.2282,87,1.553571429,6,5,2.727272727,,4166.2663,31
,143,La,57,11384.26,8.3945,18272.0585,11.7583,104.705,7.9711,4896.7322,7.4797,-14945.8823,10.18,-1709.8899,7.5816,86,1.50877193,7,4,2.545454545,,6218.8354,29
,143,Ce,58,12317.9567,2.4694,16451.8283,5.8431,882.6235,2.4553,2395.9321,2.1967,-11053.0924,6.3547,-5891.3295,2.4858,85,1.465517241,8,3,2.181818182,,5144.8007,27
,143,Pr,59,13196.3023,1.8886,14716.2982,4.3649,1729.2653,1.8841,-107.5356,3.0105,-10333.2206,6.1095,-5189.4623,1.3689,84,1.423728814,9,2,1.636363636,,7353.1508,25
,143,Nd,60,15953.4267,3.1239,13149.1948,1.4525,530.5151,2.415,-4485.1754,2.4679,-6758.3857,2.198,-10932.0926,23.6215,83,1.383333333,10,1,0.909090909,,6123.573,23
,143,Pm,61,18580.3683,14.2792,11524.0727,3.0037,-556.9276,4.6781,-8719.3531,11.3733,-6463.2682,3.0034,-12050.0525,2.9563,82,1.344262295,11,0,0,,9890.4463,21
,143,Sm,62,19725.8115,8.8494,9903.5572,3.9761,74.879,27.6576,-11285.824,200.3204,-856.0506,2.4688,-16279.5234,30.1147,81,1.306451613,12,-1,-1.090909091,,8606.5234,19
,143,Eu,63,20458.3002,16.7457,8296.3211,17.7739,834.8016,17.4733,-13822.1185,52.3968,-388.7462,26.0275,-15353.1068,30.0266,80,1.26984127,13,-2,-2.363636364,,11003.6994,17
,143,Gd,64,21149.7162,201.2738,6875.2935,200.4832,1724.0023,200.597,-16062.3618,200.7256,3461.6476,200.3102,-19743.1068,728.6299,79,1.234375,14,-3,-3.818181818,,9343.1068,15
,143,Tb,65,22020.9858,117.0648,5071.4877,52.7681,2553.9432,52.893,-18372#,302#,3600.7661,59.3988,-18371#,730#,78,1.2,15,-4,-5.454545455,,11930.9883,13
,143,Dy,66,22929#,298#,3522.6605,23.6753,3038#,196#,-21009#,400#,7501.6019,30.8379,-22990#,401#,77,1.166666667,16,-5,-7.272727273,,10121#,11
,143,Ho,67,23826#,499#,2085#,316#,3658#,422#,*,,7223#,761#,-22189#,582#,76,1.134328358,-15,-6,-4.285714286,,12869#,9
,143,Er,68,*,,356#,499#,4115#,640#,*,,11670#,831#,*,,75,1.102941176,-14,-7,-4.666666667,,11302#,7
0,144,Te,52,5813#,583#,*,,-4155#,424#,20652#,300#,*,,6498#,361#,92,1.769230769,2,10,1.666666667,+,3761#,40
,144,I,53,6670#,400#,26298#,500#,-3365#,721#,17941#,400#,*,,6801#,400#,91,1.716981132,3,9,2.25,,2612#,38
