1,A,elt,Z,S(2n),S(2n)_err,S(2p),S(2p)_err,Q(a),Q(a)_err,Q(2B-),Q(2B-)_err,Q(ep),Q(ep)_err,Q(B- n),Q(B- n)_err,N,N_to_Z_ratio,Vp,Vn,Shell_Closure,Parity,S(n),N_Z_excess
,19,O,8,12001.0141,2.637,32276.9638,17.5639,-8965.2032,2.7556,1580.8043,2.6418,-28875.3789,30.1157,-5611.5727,2.6774,11,1.375,0,3,0,,3955.6439,3
,19,F,9,19581.7825,0.2479,23935.466,15,-4013.7991,0.001,-14416.8296,10.5351,-21889.5836,18.5695,-14876.3806,0.3634,10,1.111111111,1,2,0.666666667,,10431.8757,1
,19,Ne,10,30891.0346,0.3882,12017.1244,0.1601,-3528.4845,0.5156,-30086.3405,60.0013,-4754.1012,0.1601,-31357.2564,93.8814,9,0.9,2,1,0.666666667,,11636.8819,-1
,19,Na,11,37932.8313,60.5393,3600.2589,10.5381,-6062.2835,17.5211,*,,4767.3009,10.5453,*,,8,0.727272727,3,0,0,,20179.9254,-3
,19,Mg,12,*,,-759.9999,60,-10801.8956,89.7044,*,,19231.8055,60.0021,*,,7,0.583333333,4,-1,-1.333333333,,*,-5
0,20,B,5,-1466.2927,583.2574,*,,*,,47635.0708,552.0237,*,,28916.4961,555.1454,15,3,3,-5,7.5,,-1560,10
,20,C,6,3558.3351,232.5678,*,,-22368.4878,284.0361,33707.395,230.6264,*,,13575.9936,231.2074,14,2.333333333,-2,6,-3,+,2981.5058,8
,20,N,7,7489.3057,81.05,44604.0841,218.878,-17770.1168,82.6304,21783.9611,78.8941,-45292.7238,531.2534,10362.322,78.9382,13,1.857142857,-1,5,-1.25,,2161.0753,6
,20,O,8,11563.6481,0.8849,35701.0361,30.013,-12322.8773,3.6855,10838.1039,0.8849,-35906.5538,98.3934,-2787.7012,0.8849,12,1.5,0,4,0,+,7608.0042,4
,20,F,9,17033.2118,0.4643,27708.5728,18.5696,-8126.2863,2.3016,-6867.9517,1.1094,-23162.6893,16.4038,-9840.8348,0.1628,11,1.222222222,1,3,0.75,,6601.3362,2
,20,Ne,10,28502.1857,0.3634,20837.058,0.0017,-4729.8459,0.0016,-24519.6261,1.863,-17663.761,2.637,-28042.6347,10.5351,10,1,2,2,1,+,16865.3038,0
,20,Na,11,34330.1395,93.8878,8600.5661,1.2019,-6249.6092,5.4776,*,,1048.9626,1.109,-33059.2235,60.0113,9,0.818181818,3,1,0.75,,14150.214,-2
,20,Mg,12,*,,2417.8656,1.8981,-8933.997,20.5646,*,,8436.6693,1.8699,*,,8,0.666666667,4,0,0,+,22432.0181,-4
0,21,B,5,-2470.0001,190,*,,*,,53150.9714,574.5213,*,,32808.002,604.3953,16,3.2,3,-4,12,,-910,11
,21,C,6,2913#,604#,*,,*,,37581#,596#,*,,15805#,601#,15,2.5,-2,-5,-1.428571429,,-68#,9
